title,description,priority
Lift Failure,Student collapsed due to breathing difficulty in room 340. Please resolve this issue as soon as possible.,High
Furniture Damage,Door lock is jammed and cannot be opened in room 187. Immediate maintenance is requested.,Medium
Garden Maintenance,Request to install additional charging ports. This problem has been occurring since yesterday.,Low
Suggestion,Curtain rod is slightly loose in room 349. The problem is becoming worse every day.,Low
Water Leakage,Strong gas smell reported near hostel kitchen in Block A. This has become inconvenient for students.,High
Garden Maintenance,Curtain rod is slightly loose in room 268. The complaint was observed this morning.,Low
Water Leakage,Lift stopped unexpectedly with students inside Block B. The issue is affecting daily hostel life.,High
Tube Light Fault,Door lock is jammed and cannot be opened in room 511. Please resolve this issue as soon as possible.,Medium
Window Damage,Power socket is loose and needs replacement. Kindly look into this matter.,Medium
Security Emergency,Ceiling plaster collapsed in room 242. Kindly look into this matter.,High
Ceiling Collapse,Ceiling plaster collapsed in room 255. Immediate maintenance is requested.,High
Water Tap Problem,Bathroom tap keeps dripping in room 420. Immediate maintenance is requested.,Medium
Medical Emergency,"Continuous water leakage from ceiling in room 221, Block E. Please resolve this issue as soon as possible.",High
Fan Repair,Study table leg is broken in room 293. The issue is affecting daily hostel life.,Medium
Cleaning Request,Internet speed is slow in room 227. Please resolve this issue as soon as possible.,Low
Lift Failure,Fire sparks noticed near electrical panel in room 111. The complaint was observed this morning.,High
Switch Board Issue,Door lock is jammed and cannot be opened in room 171. The problem is becoming worse every day.,Medium
Tube Light Fault,Tube light flickers continuously in room 277. The issue is affecting daily hostel life.,Medium
Door Lock Issue,Switch board buttons are loose in room 457. This problem has been occurring since yesterday.,Medium
Minor Maintenance,Hostel walls require repainting in Block A. Please resolve this issue as soon as possible.,Low
Suggestion,Laundry clothes have not been returned on time. The complaint was observed this morning.,Low
Lift Failure,"Continuous water leakage from ceiling in room 411, Block E. Kindly look into this matter.",High
Security Emergency,Lift stopped unexpectedly with students inside Block D. The complaint was observed this morning.,High
Dustbin Overflow,Room cleaning has not been done for two days in room 162. The issue is affecting daily hostel life.,Low
Short Circuit,"Continuous water leakage from ceiling in room 426, Block B. The problem is becoming worse every day.",High
Minor Maintenance,Hostel walls require repainting in Block C. This problem has been occurring since yesterday.,Low
Fire Hazard,Student collapsed due to breathing difficulty in room 169. Please resolve this issue as soon as possible.,High
Fire Hazard,Student collapsed due to breathing difficulty in room 438. Kindly look into this matter.,High
Gas Leak,Smoke observed coming from electrical wiring in corridor. Kindly look into this matter.,High
Fire Hazard,Smoke observed coming from electrical wiring in corridor. This problem has been occurring since yesterday.,High
Dustbin Overflow,Hostel walls require repainting in Block D. This problem has been occurring since yesterday.,Low
Smoke Alert,Unknown person entered girls hostel near Block E. This has become inconvenient for students.,High
Cleaning Request,Students are making noise after study hours. This has become inconvenient for students.,Low
Minor Maintenance,Hostel walls require repainting in Block E. Kindly look into this matter.,Low
Painting Request,Garden near Block A requires maintenance. The issue is affecting daily hostel life.,Low
Garden Maintenance,Room cleaning has not been done for two days in room 468. The issue is affecting daily hostel life.,Low
Fan Repair,Water supply is irregular in Block B. Immediate maintenance is requested.,Medium
Door Lock Issue,Bathroom tap keeps dripping in room 383. This has become inconvenient for students.,Medium
Flush Issue,Bathroom tap keeps dripping in room 251. Kindly look into this matter.,Medium
Suggestion,Curtain rod is slightly loose in room 290. The complaint was observed this morning.,Low
Fan Repair,Door lock is jammed and cannot be opened in room 498. Kindly look into this matter.,Medium
Laundry Delay,Students are making noise after study hours. This problem has been occurring since yesterday.,Low
Mess Food Feedback,Dustbin outside room 135 is overflowing. Kindly look into this matter.,Low
Water Tap Problem,Water supply is irregular in Block B. Please resolve this issue as soon as possible.,Medium
Water Supply Problem,Water supply is irregular in Block E. The issue is affecting daily hostel life.,Medium
Socket Repair,Study table leg is broken in room 134. Immediate maintenance is requested.,Medium
Fan Repair,Power socket is loose and needs replacement. The complaint was observed this morning.,Medium
Cleaning Request,Internet speed is slow in room 119. The complaint was observed this morning.,Low
Medical Emergency,Lift stopped unexpectedly with students inside Block C. This problem has been occurring since yesterday.,High
Electric Shock,Smoke observed coming from electrical wiring in corridor. Please resolve this issue as soon as possible.,High
Painting Request,Hostel walls require repainting in Block E. The issue is affecting daily hostel life.,Low
Water Tap Problem,Door lock is jammed and cannot be opened in room 113. This problem has been occurring since yesterday.,Medium
Window Damage,Flush is not working in hostel washroom. The issue is affecting daily hostel life.,Medium
Smoke Alert,Ceiling plaster collapsed in room 283. This problem has been occurring since yesterday.,High
Gas Leak,Short circuit occurred near switchboard in room 439. Kindly look into this matter.,High
Security Emergency,Smoke observed coming from electrical wiring in corridor. This has become inconvenient for students.,High
Socket Repair,Water supply is irregular in Block C. Please resolve this issue as soon as possible.,Medium
Door Lock Issue,Power socket is loose and needs replacement. This problem has been occurring since yesterday.,Medium
Noise Complaint,Laundry clothes have not been returned on time. Kindly look into this matter.,Low
Mess Food Feedback,Hostel walls require repainting in Block E. Immediate maintenance is requested.,Low
Window Damage,Study table leg is broken in room 349. The issue is affecting daily hostel life.,Medium
Water Tap Problem,Window glass cracked due to heavy wind in room 310. This problem has been occurring since yesterday.,Medium
Flush Issue,Bathroom tap keeps dripping in room 465. This problem has been occurring since yesterday.,Medium
Dustbin Overflow,Dustbin outside room 496 is overflowing. Kindly look into this matter.,Low
Noise Complaint,Hostel walls require repainting in Block A. This has become inconvenient for students.,Low
Suggestion,Curtain rod is slightly loose in room 415. This problem has been occurring since yesterday.,Low
Security Emergency,Ceiling plaster collapsed in room 371. This problem has been occurring since yesterday.,High
Fire Hazard,Unknown person entered girls hostel near Block C. The issue is affecting daily hostel life.,High
Ceiling Collapse,Student collapsed due to breathing difficulty in room 393. The problem is becoming worse every day.,High
Flush Issue,Bathroom tap keeps dripping in room 278. The complaint was observed this morning.,Medium
Flush Issue,Power socket is loose and needs replacement. The issue is affecting daily hostel life.,Medium
Minor Maintenance,Curtain rod is slightly loose in room 241. The complaint was observed this morning.,Low
Garden Maintenance,Hostel walls require repainting in Block B. Please resolve this issue as soon as possible.,Low
Gas Leak,Unknown person entered girls hostel near Block D. This problem has been occurring since yesterday.,High
Fan Repair,Ceiling fan is not rotating properly in room 426. Immediate maintenance is requested.,Medium
